timestamp,zoneId,date,airTemperature,windSpeed,gustSpeed,windDirection,relativeHumidity,dewPointTemperature,precipation,precipationDensity,snowDepth,airPressure,visibility,cloudAmount,presentWeather
1477951200000,Helsinki-Kaisaniemi,2016-11-01 00:00:00,-0.6,1.2,1.9,46.0,96.0,-1.2,0.0,0.0,0.0,1022.9,NaN,7.0,NaN,
1477958400000,Helsinki-Kaisaniemi,2016-11-01 02:00:00,0.5,1.1,1.9,40.0,91.0,-0.8,0.0,0.0,0.0,1022.3,NaN,7.0,NaN,
1477965600000,Helsinki-Kaisaniemi,2016-11-01 04:00:00,0.9,1.5,2.6,102.0,90.0,-0.5,0.0,0.0,0.0,1021.2,NaN,8.0,NaN,
1477972800000,Helsinki-Kaisaniemi,2016-11-01 06:00:00,1.5,1.6,2.4,105.0,92.0,0.3,0.0,0.0,0.0,1020.5,NaN,8.0,NaN,
1477980000000,Helsinki-Kaisaniemi,2016-11-01 08:00:00,2.0,1.3,1.9,59.0,94.0,1.2,0.3,0.3,0.0,1019.9,NaN,8.0,NaN,
1477987200000,Helsinki-Kaisaniemi,2016-11-01 10:00:00,2.7,1.7,2.7,121.0,92.0,1.5,0.0,0.0,0.0,1018.5,NaN,8.0,NaN,
1477994400000,Helsinki-Kaisaniemi,2016-11-01 12:00:00,4.0,3.5,6.2,179.0,76.0,0.1,0.0,0.0,0.0,1017.3,NaN,7.0,NaN,
1478001600000,Helsinki-Kaisaniemi,2016-11-01 14:00:00,3.1,3.2,5.8,166.0,75.0,-0.9,0.0,0.0,0.0,1016.0,NaN,7.0,NaN,
1478008800000,Helsinki-Kaisaniemi,2016-11-01 16:00:00,2.5,4.8,7.4,166.0,70.0,-2.4,0.0,0.0,0.0,1014.5,NaN,7.0,NaN,
1478016000000,Helsinki-Kaisaniemi,2016-11-01 18:00:00,2.0,5.1,10.1,153.0,65.0,-4.0,0.0,0.0,0.0,1013.1,NaN,7.0,NaN,
1478023200000,Helsinki-Kaisaniemi,2016-11-01 20:00:00,1.7,5.6,12.7,145.0,65.0,-4.1,0.0,0.0,0.0,1011.7,NaN,7.0,NaN,
1478030400000,Helsinki-Kaisaniemi,2016-11-01 22:00:00,1.7,6.3,13.2,143.0,66.0,-4.0,0.0,0.0,0.0,1010.2,NaN,8.0,NaN,
1478037600000,Helsinki-Kaisaniemi,2016-11-02 00:00:00,1.5,7.7,14.5,132.0,65.0,-4.3,0.0,0.0,0.0,1008.7,NaN,7.0,NaN,
1478044800000,Helsinki-Kaisaniemi,2016-11-02 02:00:00,1.7,8.4,15.3,125.0,67.0,-3.7,0.0,0.0,0.0,1007.0,NaN,8.0,NaN,
1478052000000,Helsinki-Kaisaniemi,2016-11-02 04:00:00,1.2,7.8,14.6,116.0,76.0,-2.6,0.0,0.0,0.0,1006.0,NaN,7.0,NaN,
1478059200000,Helsinki-Kaisaniemi,2016-11-02 06:00:00,1.7,7.3,12.4,101.0,68.0,-3.6,0.0,0.0,0.0,1005.1,NaN,8.0,NaN,
1478066400000,Helsinki-Kaisaniemi,2016-11-02 08:00:00,1.2,6.8,13.0,105.0,77.0,-2.4,0.1,0.3,0.0,1004.8,NaN,7.0,NaN,
1478073600000,Helsinki-Kaisaniemi,2016-11-02 10:00:00,0.4,5.2,10.3,79.0,92.0,-0.7,0.2,0.3,0.0,1004.6,NaN,7.0,NaN,
1478080800000,Helsinki-Kaisaniemi,2016-11-02 12:00:00,-0.3,5.1,9.1,44.0,94.0,-1.2,0.7,0.1,0.0,1004.1,NaN,7.0,NaN,
1478088000000,Helsinki-Kaisaniemi,2016-11-02 14:00:00,-1.3,5.4,10.8,54.0,97.0,-1.7,2.0,0.5,2.0,1004.6,NaN,7.0,NaN,
1478095200000,Helsinki-Kaisaniemi,2016-11-02 16:00:00,-1.6,5.8,9.5,52.0,95.0,-2.3,0.3,0.1,4.0,1004.9,NaN,8.0,NaN,
1478102400000,Helsinki-Kaisaniemi,2016-11-02 18:00:00,-1.6,5.9,10.6,51.0,94.0,-2.4,0.1,0.3,4.0,1005.3,NaN,7.0,NaN,
1478109600000,Helsinki-Kaisaniemi,2016-11-02 20:00:00,-1.8,6.2,11.2,46.0,93.0,-2.7,0.0,0.0,4.0,1005.8,NaN,7.0,NaN,
1478116800000,Helsinki-Kaisaniemi,2016-11-02 22:00:00,-1.9,4.7,8.6,43.0,91.0,-3.1,0.1,0.0,4.0,1006.3,NaN,8.0,NaN,
1478124000000,Helsinki-Kaisaniemi,2016-11-03 00:00:00,-2.0,6.2,11.8,47.0,81.0,-4.9,0.0,0.0,4.0,1006.9,NaN,8.0,NaN,
1478131200000,Helsinki-Kaisaniemi,2016-11-03 02:00:00,-2.1,5.9,9.6,44.0,82.0,-4.7,0.0,0.0,4.0,1007.1,NaN,7.0,NaN,
1478138400000,Helsinki-Kaisaniemi,2016-11-03 04:00:00,-2.2,3.8,8.3,30.0,87.0,-4.0,0.0,0.0,4.0,1007.6,NaN,1.0,NaN,
1478145600000,Helsinki-Kaisaniemi,2016-11-03 06:00:00,-2.0,4.6,8.1,33.0,85.0,-4.2,0.0,0.0,4.0,1008.0,NaN,5.0,NaN,
1478152800000,Helsinki-Kaisaniemi,2016-11-03 08:00:00,-1.3,4.7,10.4,36.0,77.0,-4.9,0.0,0.0,4.0,1008.7,NaN,5.0,NaN,
1478160000000,Helsinki-Kaisaniemi,2016-11-03 10:00:00,-0.1,5.2,7.9,49.0,69.0,-5.2,0.0,0.0,4.0,1009.0,NaN,1.0,NaN,
1478167200000,Helsinki-Kaisaniemi,2016-11-03 12:00:00,-0.7,4.7,7.4,10.0,71.0,-5.3,0.0,0.0,4.0,1009.4,NaN,8.0,NaN,
1478174400000,Helsinki-Kaisaniemi,2016-11-03 14:00:00,-1.2,4.1,8.8,16.0,75.0,-5.0,0.0,0.0,3.0,1010.3,NaN,7.0,NaN,
1478181600000,Helsinki-Kaisaniemi,2016-11-03 16:00:00,-2.1,3.9,7.1,10.0,76.0,-5.8,0.0,0.0,3.0,1011.0,NaN,7.0,NaN,
1478188800000,Helsinki-Kaisaniemi,2016-11-03 18:00:00,-2.4,4.7,6.8,4.0,80.0,-5.3,0.0,0.0,3.0,1011.4,NaN,7.0,NaN,
1478196000000,Helsinki-Kaisaniemi,2016-11-03 20:00:00,-2.3,3.6,5.5,8.0,86.0,-4.4,0.0,0.0,3.0,1011.9,NaN,7.0,NaN,
1478203200000,Helsinki-Kaisaniemi,2016-11-03 22:00:00,-2.0,3.6,5.6,7.0,84.0,-4.3,0.0,0.0,3.0,1012.2,NaN,7.0,NaN,
1478210400000,Helsinki-Kaisaniemi,2016-11-04 00:00:00,-1.7,3.1,5.8,4.0,80.0,-4.6,0.0,0.0,3.0,1012.6,NaN,7.0,NaN,
1478217600000,Helsinki-Kaisaniemi,2016-11-04 02:00:00,-2.2,3.0,5.3,6.0,81.0,-5.0,0.0,0.0,3.0,1012.8,NaN,7.0,NaN,
1478224800000,Helsinki-Kaisaniemi,2016-11-04 04:00:00,-3.0,3.2,4.8,347.0,84.0,-5.3,0.0,0.0,3.0,1013.2,NaN,7.0,NaN,
1478232000000,Helsinki-Kaisaniemi,2016-11-04 06:00:00,-3.0,3.5,5.4,2.0,89.0,-4.5,0.0,0.0,3.0,1013.6,NaN,7.0,NaN,
1478239200000,Helsinki-Kaisaniemi,2016-11-04 08:00:00,-1.3,2.7,4.9,8.0,82.0,-4.0,0.0,0.0,3.0,1014.2,NaN,7.0,NaN,
1478246400000,Helsinki-Kaisaniemi,2016-11-04 10:00:00,-0.8,2.8,4.4,17.0,79.0,-3.9,0.0,0.0,3.0,1014.9,NaN,7.0,NaN,
1478253600000,Helsinki-Kaisaniemi,2016-11-04 12:00:00,-0.4,2.9,5.7,23.0,71.0,-4.9,0.0,0.0,3.0,1015.4,NaN,7.0,NaN,
1478260800000,Helsinki-Kaisaniemi,2016-11-04 14:00:00,-0.9,3.1,6.9,23.0,71.0,-5.5,0.0,0.0,3.0,1016.2,NaN,7.0,NaN,
