timestamp,airTemperature_fmi,windSpeed,gustSpeed,relativeHumidity,dewPointTemperature,precipation,precipationDensity,snowDepth,airPressure,visibility,cloudAmount,snowDiff,snow_class
1.11.2016 0:00,-1.6,1.8,2.3,97,-1.9,0,0,0,1023,7760,5,0,0
1.11.2016 2:00,-0.6,1.5,2.2,96,-1.2,0,0,0,1022.4,10220,7,0,0
1.11.2016 4:00,-0.3,1.5,2.3,94,-1.2,0,0,0,1021.3,10460,7,0,0
1.11.2016 6:00,-0.4,0.9,1.2,95,-1,0,0,0,1020.6,11630,7,0,0
1.11.2016 8:00,1,2.9,4.4,96,0.4,0.1,0.4,0,1020,2530,7,0,0
1.11.2016 10:00,2,1.5,2.2,94,1.2,0,0,0,1018.7,9330,7,0,0
1.11.2016 12:00,3.6,4.2,6.4,74,-0.6,0,0,0,1017.3,39310,7,0,0
1.11.2016 14:00,2.7,5.1,6.6,76,-1.1,0,0,0,1016.1,32230,8,0,0
1.11.2016 16:00,2,5.6,8.8,71,-2.7,0,0,0,1014.6,36100,8,0,0
1.11.2016 18:00,1.5,8.6,12.5,63,-4.7,0,0,0,1013.2,50000,8,0,0
1.11.2016 20:00,1.5,8.8,13.5,65,-4.3,0,0,0,1011.8,50000,7,0,0
1.11.2016 22:00,1.3,7.4,12.1,67,-4.2,0,0,0,1010.3,50000,8,0,0
2.11.2016 0:00,1.1,10.4,15.6,65,-4.8,0,0,0,1008.9,50000,7,0,0
2.11.2016 2:00,1.5,10.4,16.2,65,-4.3,0,0,0,1007.1,48340,8,0,0
2.11.2016 4:00,0.9,11.5,17.9,77,-2.7,0,0,0,1006,3890,7,0,0
2.11.2016 6:00,1.2,9.2,14.3,68,-4.2,0.1,0,0,1005.3,29920,8,0,0
2.11.2016 8:00,1.2,8,15.2,69,-3.9,0,0,0,1004.9,11400,8,0,0
2.11.2016 10:00,-0.5,5.6,8.9,97,-0.9,1.4,0.8,0,1004.8,2530,7,0,0
2.11.2016 12:00,-1,6.3,9.8,98,-1.3,0.8,0.6,2,1004.3,2650,7,2,1
2.11.2016 14:00,-1.6,8.7,13.6,96,-2.1,0.6,0,4,1004.8,3370,8,2,1
2.11.2016 16:00,-2,6.8,10.8,95,-2.7,0.2,0,4,1005.2,2520,8,0,0
2.11.2016 18:00,-1.8,6.9,11.5,94,-2.7,0.1,0,4,1005.5,6410,8,0,0
2.11.2016 20:00,-2.1,6.5,10,93,-3.1,0,0,4,1006,13790,8,0,0
2.11.2016 22:00,-2.2,5.3,9.7,86,-4.2,0,0,4,1006.4,11030,8,0,0
3.11.2016 0:00,-2.3,6.1,9.8,80,-5.3,0,0,4,1007,41720,8,0,0
3.11.2016 2:00,-2.4,5.6,10.1,82,-5,0,0,3,1007.3,39190,8,-1,0
3.11.2016 4:00,-2.6,4.9,8.6,88,-4.3,0,0,3,1007.7,18960,1,0,0
3.11.2016 6:00,-2.3,4.8,7.6,85,-4.4,0,0,3,1008.2,49660,5,0,0
3.11.2016 8:00,-1.6,5.3,8.6,76,-5.4,0,0,3,1008.8,45180,5,0,0
3.11.2016 10:00,-0.6,5.6,8.4,69,-5.7,0,0,3,1009.1,48480,1,0,0
3.11.2016 12:00,-0.9,6.7,10.4,69,-5.9,0,0,3,1009.6,38250,8,0,0
3.11.2016 14:00,-1.4,4.2,7.2,75,-5.3,0,0,3,1010.3,25600,7,0,0
3.11.2016 16:00,-2.4,3.4,6.8,74,-6.4,0,0,3,1011.1,41990,7,0,0
3.11.2016 18:00,-2.9,3.2,5.6,80,-5.9,0,0,3,1011.5,29130,7,0,0
3.11.2016 20:00,-2.5,3.2,6.3,85,-4.6,0,0,3,1011.9,18390,7,0,0
3.11.2016 22:00,-2.4,2.8,4.9,83,-4.9,0,0,3,1012.3,41490,8,0,0
4.11.2016 0:00,-2,3.3,5.4,80,-5.1,0,0,3,1012.6,43730,8,0,0
4.11.2016 2:00,-2.5,3,5.8,80,-5.5,0,0,3,1012.9,50000,8,0,0
4.11.2016 4:00,-3.4,3,5,84,-5.7,0,0,3,1013.3,27670,7,0,0
4.11.2016 6:00,-2.8,3,5.1,87,-4.6,0,0,3,1013.7,40760,7,0,0
4.11.2016 8:00,-1.6,2.7,4.5,82,-4.3,0,0,3,1014.3,20990,8,0,0
4.11.2016 10:00,-1,2.5,4.5,77,-4.5,0,0,3,1015,37290,7,0,0
4.11.2016 12:00,-0.7,3.5,5.7,72,-5,0,0,3,1015.5,49490,8,0,0
4.11.2016 14:00,-1.2,3.8,6.9,70,-6,0,0,3,1016.3,50000,7,0,0
4.11.2016 16:00,-3.1,2.3,3.1,76,-6.7,0,0,3,1017.1,47610,0,0,0
4.11.2016 18:00,-4.7,2.7,3.8,85,-6.8,0,0,3,1017.3,31040,0,0,0
4.11.2016 20:00,-4.6,2.8,5.2,89,-6.2,0,0,3,1017.9,34030,0,0,0
4.11.2016 22:00,-5.7,2.6,4.1,92,-6.7,0,0,3,1018.2,22740,0,0,0
5.11.2016 0:00,-5.1,1.9,3.3,95,-5.9,0,0,3,1018.6,25350,8,0,0
5.11.2016 2:00,-4.1,2.5,4.2,92,-5.2,0,0,3,1018.6,27080,8,0,0
5.11.2016 4:00,-4.1,1.4,2.6,92,-5.2,0,0,3,1018.7,23450,8,0,0
5.11.2016 6:00,-3.7,1.9,2.8,89,-5.2,0,0,3,1018.7,26330,8,0,0
5.11.2016 8:00,-3.4,2.2,3.3,88,-5.1,0,0,3,1019.4,20520,7,0,0
5.11.2016 10:00,-2.9,2.5,3.6,82,-5.6,0,0,3,1019.7,31190,7,0,0
5.11.2016 12:00,-2.7,2.3,3.5,70,-7.5,0,0,3,1019.5,44020,0,0,0
5.11.2016 14:00,-3.5,2.5,3.8,72,-7.9,0,0,3,1019.8,43060,5,0,0
5.11.2016 16:00,-3.7,2.8,5,66,-9.2,0,0,3,1019.6,47270,7,0,0
