timestamp,zoneId,date,airTemperature,windSpeed,gustSpeed,windDirection,relativeHumidity,dewPointTemperature,precipation,precipationDensity,snowDepth,airPressure,visibility,cloudAmount,presentWeather
1477951200000,Helsinki-Kumpula,2016-11-01 00:00:00,-1.6,1.8,2.3,18.0,97.0,-1.9,0.0,0.0,0.0,1023.0,7760.0,5.0,10.0,
1477958400000,Helsinki-Kumpula,2016-11-01 02:00:00,-0.6,1.5,2.2,20.0,96.0,-1.2,0.0,0.0,0.0,1022.4,10220.0,7.0,10.0,
1477965600000,Helsinki-Kumpula,2016-11-01 04:00:00,-0.3,1.5,2.3,54.0,94.0,-1.2,0.0,0.0,0.0,1021.3,10460.0,7.0,21.0,
1477972800000,Helsinki-Kumpula,2016-11-01 06:00:00,-0.4,0.9,1.2,29.0,95.0,-1.0,0.0,0.0,0.0,1020.6,11630.0,7.0,0.0,
1477980000000,Helsinki-Kumpula,2016-11-01 08:00:00,1.0,2.9,4.4,154.0,96.0,0.4,0.1,0.4,0.0,1020.0,2530.0,7.0,81.0,
1477987200000,Helsinki-Kumpula,2016-11-01 10:00:00,2.0,1.5,2.2,59.0,94.0,1.2,0.0,0.0,0.0,1018.7,9330.0,7.0,0.0,
1477994400000,Helsinki-Kumpula,2016-11-01 12:00:00,3.6,4.2,6.4,127.0,74.0,-0.6,0.0,0.0,0.0,1017.3,39310.0,7.0,0.0,
1478001600000,Helsinki-Kumpula,2016-11-01 14:00:00,2.7,5.1,6.6,130.0,76.0,-1.1,0.0,0.0,0.0,1016.1,32230.0,8.0,0.0,
1478008800000,Helsinki-Kumpula,2016-11-01 16:00:00,2.0,5.6,8.8,135.0,71.0,-2.7,0.0,0.0,0.0,1014.6,36100.0,8.0,0.0,
1478016000000,Helsinki-Kumpula,2016-11-01 18:00:00,1.5,8.6,12.5,119.0,63.0,-4.7,0.0,0.0,0.0,1013.2,50000.0,8.0,0.0,
1478023200000,Helsinki-Kumpula,2016-11-01 20:00:00,1.5,8.8,13.5,108.0,65.0,-4.3,0.0,0.0,0.0,1011.8,50000.0,7.0,0.0,
1478030400000,Helsinki-Kumpula,2016-11-01 22:00:00,1.3,7.4,12.1,109.0,67.0,-4.2,0.0,0.0,0.0,1010.3,50000.0,8.0,0.0,
1478037600000,Helsinki-Kumpula,2016-11-02 00:00:00,1.1,10.4,15.6,103.0,65.0,-4.8,0.0,0.0,0.0,1008.9,50000.0,7.0,0.0,
1478044800000,Helsinki-Kumpula,2016-11-02 02:00:00,1.5,10.4,16.2,88.0,65.0,-4.3,0.0,0.0,0.0,1007.1,48340.0,8.0,41.0,
1478052000000,Helsinki-Kumpula,2016-11-02 04:00:00,0.9,11.5,17.9,83.0,77.0,-2.7,0.0,0.0,0.0,1006.0,3890.0,7.0,71.0,
1478059200000,Helsinki-Kumpula,2016-11-02 06:00:00,1.2,9.2,14.3,66.0,68.0,-4.2,0.1,0.0,0.0,1005.3,29920.0,8.0,71.0,
