timestamp,zoneId,date,airTemperature,windSpeed,gustSpeed,windDirection,relativeHumidity,dewPointTemperature,precipation,precipationDensity,snowDepth,airPressure,visibility,cloudAmount,presentWeather
1477951200000,Helsinki-Harmaja,2016-11-01 00:00:00,3.0,3.2,4.1,82.0,89.0,1.4,NaN,NaN,NaN,1022.7,22560.0,8.0,0.0,
1477958400000,Helsinki-Harmaja,2016-11-01 02:00:00,2.7,1.7,2.5,43.0,91.0,1.3,NaN,NaN,NaN,1022.0,19610.0,8.0,0.0,
1477965600000,Helsinki-Harmaja,2016-11-01 04:00:00,2.4,1.9,3.0,53.0,94.0,1.5,NaN,NaN,NaN,1021.1,8280.0,8.0,52.0,
1477972800000,Helsinki-Harmaja,2016-11-01 06:00:00,2.9,2.6,3.7,331.0,89.0,1.3,NaN,NaN,NaN,1020.4,20180.0,8.0,52.0,
1477980000000,Helsinki-Harmaja,2016-11-01 08:00:00,3.9,3.5,5.1,205.0,77.0,0.3,NaN,NaN,NaN,1019.8,24520.0,7.0,52.0,
1477987200000,Helsinki-Harmaja,2016-11-01 10:00:00,4.3,5.4,7.0,169.0,76.0,0.4,NaN,NaN,NaN,1018.5,46110.0,7.0,0.0,
1477994400000,Helsinki-Harmaja,2016-11-01 12:00:00,3.8,5.3,6.9,169.0,79.0,0.5,NaN,NaN,NaN,1017.3,38900.0,7.0,0.0,
1478001600000,Helsinki-Harmaja,2016-11-01 14:00:00,3.1,5.8,7.3,159.0,77.0,-0.5,NaN,NaN,NaN,1015.9,37020.0,7.0,0.0,
1478008800000,Helsinki-Harmaja,2016-11-01 16:00:00,2.6,7.2,9.9,158.0,72.0,-1.9,NaN,NaN,NaN,1014.4,39870.0,7.0,0.0,
1478016000000,Helsinki-Harmaja,2016-11-01 18:00:00,2.5,11.0,13.8,133.0,74.0,-1.8,NaN,NaN,NaN,1012.9,33180.0,7.0,0.0,
1478023200000,Helsinki-Harmaja,2016-11-01 20:00:00,2.3,12.0,15.4,130.0,76.0,-1.5,NaN,NaN,NaN,1011.4,20340.0,7.0,0.0,
1478030400000,Helsinki-Harmaja,2016-11-01 22:00:00,2.4,11.9,14.5,128.0,76.0,-1.4,NaN,NaN,NaN,1009.8,21740.0,7.0,0.0,
1478037600000,Helsinki-Harmaja,2016-11-02 00:00:00,2.1,12.7,16.1,122.0,73.0,-2.2,NaN,NaN,NaN,1008.2,20180.0,7.0,0.0,
1478044800000,Helsinki-Harmaja,2016-11-02 02:00:00,2.2,15.1,18.9,108.0,75.0,-1.7,NaN,NaN,NaN,1006.4,7820.0,7.0,81.0,
1478052000000,Helsinki-Harmaja,2016-11-02 04:00:00,2.1,14.2,19.1,99.0,75.0,-2.0,NaN,NaN,NaN,1005.4,5230.0,8.0,81.0,
1478059200000,Helsinki-Harmaja,2016-11-02 06:00:00,1.7,12.8,16.3,93.0,83.0,-0.9,NaN,NaN,NaN,1004.7,5150.0,8.0,81.0,
1478066400000,Helsinki-Harmaja,2016-11-02 08:00:00,0.9,12.3,16.3,103.0,97.0,0.5,NaN,NaN,NaN,1004.4,1960.0,7.0,61.0,
1478073600000,Helsinki-Harmaja,2016-11-02 10:00:00,0.6,12.2,16.3,96.0,97.0,0.2,NaN,NaN,NaN,1004.1,2360.0,7.0,61.0,
1478080800000,Helsinki-Harmaja,2016-11-02 12:00:00,1.8,11.9,15.0,93.0,96.0,1.2,NaN,NaN,NaN,1003.5,4640.0,7.0,67.0,
1478088000000,Helsinki-Harmaja,2016-11-02 14:00:00,0.2,8.6,11.8,54.0,97.0,-0.2,NaN,NaN,NaN,1004.1,2870.0,7.0,67.0,
1478095200000,Helsinki-Harmaja,2016-11-02 16:00:00,-0.6,9.3,13.4,39.0,99.0,-0.8,NaN,NaN,NaN,1004.4,1570.0,8.0,71.0,
1478102400000,Helsinki-Harmaja,2016-11-02 18:00:00,-0.6,10.6,13.7,39.0,98.0,-0.8,NaN,NaN,NaN,1004.6,3400.0,8.0,74.0,
1478109600000,Helsinki-Harmaja,2016-11-02 20:00:00,-0.4,9.6,12.6,36.0,97.0,-0.8,NaN,NaN,NaN,1005.3,4140.0,7.0,64.0,
1478116800000,Helsinki-Harmaja,2016-11-02 22:00:00,-0.9,9.6,13.2,33.0,95.0,-1.5,NaN,NaN,NaN,1005.9,4080.0,8.0,64.0,
1478124000000,Helsinki-Harmaja,2016-11-03 00:00:00,-0.8,9.7,12.4,36.0,91.0,-2.0,NaN,NaN,NaN,1006.4,18540.0,7.0,25.0,
1478131200000,Helsinki-Harmaja,2016-11-03 02:00:00,-0.8,9.0,12.4,38.0,91.0,-2.1,NaN,NaN,NaN,1006.7,19860.0,7.0,54.0,
1478138400000,Helsinki-Harmaja,2016-11-03 04:00:00,-0.8,8.4,10.8,29.0,92.0,-2.0,NaN,NaN,NaN,1007.2,26930.0,7.0,25.0,
1478145600000,Helsinki-Harmaja,2016-11-03 06:00:00,-1.0,8.3,10.4,18.0,92.0,-2.2,NaN,NaN,NaN,1007.7,18180.0,6.0,54.0,
1478152800000,Helsinki-Harmaja,2016-11-03 08:00:00,-0.9,8.9,11.9,20.0,88.0,-2.6,NaN,NaN,NaN,1008.4,37890.0,5.0,25.0,
1478160000000,Helsinki-Harmaja,2016-11-03 10:00:00,-0.5,8.1,10.7,23.0,81.0,-3.3,NaN,NaN,NaN,1008.8,45740.0,1.0,0.0,
1478167200000,Helsinki-Harmaja,2016-11-03 12:00:00,0.0,8.4,10.7,18.0,79.0,-3.2,NaN,NaN,NaN,1009.2,50000.0,8.0,0.0,
1478174400000,Helsinki-Harmaja,2016-11-03 14:00:00,-0.5,8.7,10.9,18.0,82.0,-3.3,NaN,NaN,NaN,1010.0,48370.0,7.0,0.0,
1478181600000,Helsinki-Harmaja,2016-11-03 16:00:00,-0.9,7.5,10.1,3.0,83.0,-3.5,NaN,NaN,NaN,1010.8,40660.0,7.0,0.0,
1478188800000,Helsinki-Harmaja,2016-11-03 18:00:00,-1.1,7.1,10.2,357.0,85.0,-3.2,NaN,NaN,NaN,1011.2,31570.0,7.0,0.0,
1478196000000,Helsinki-Harmaja,2016-11-03 20:00:00,-0.9,6.5,8.3,10.0,90.0,-2.4,NaN,NaN,NaN,1011.7,23880.0,7.0,54.0,
1478203200000,Helsinki-Harmaja,2016-11-03 22:00:00,-1.0,6.0,7.6,3.0,87.0,-2.9,NaN,NaN,NaN,1012.0,34180.0,8.0,0.0,
1478210400000,Helsinki-Harmaja,2016-11-04 00:00:00,-0.6,6.7,8.3,3.0,85.0,-2.9,NaN,NaN,NaN,1012.3,44430.0,8.0,0.0,
1478217600000,Helsinki-Harmaja,2016-11-04 02:00:00,-0.9,6.5,8.2,7.0,85.0,-3.1,NaN,NaN,NaN,1012.6,50000.0,7.0,0.0,
1478224800000,Helsinki-Harmaja,2016-11-04 04:00:00,-1.0,6.2,8.0,353.0,87.0,-2.9,NaN,NaN,NaN,1013.0,50000.0,7.0,0.0,
1478232000000,Helsinki-Harmaja,2016-11-04 06:00:00,-1.0,6.5,8.5,3.0,89.0,-2.6,NaN,NaN,NaN,1013.4,50000.0,3.0,0.0,
1478239200000,Helsinki-Harmaja,2016-11-04 08:00:00,-0.6,5.6,7.4,10.0,88.0,-2.4,NaN,NaN,NaN,1014.0,39390.0,8.0,80.0,
1478246400000,Helsinki-Harmaja,2016-11-04 10:00:00,-0.5,5.3,6.9,17.0,85.0,-2.6,NaN,NaN,NaN,1014.8,40600.0,7.0,81.0,
1478253600000,Helsinki-Harmaja,2016-11-04 12:00:00,-0.3,3.7,5.2,29.0,72.0,-4.8,NaN,NaN,NaN,1015.3,49850.0,7.0,0.0,
1478260800000,Helsinki-Harmaja,2016-11-04 14:00:00,-0.2,6.2,7.3,20.0,80.0,-3.1,NaN,NaN,NaN,1016.1,45770.0,7.0,0.0,
1478268000000,Helsinki-Harmaja,2016-11-04 16:00:00,-0.9,4.0,5.4,14.0,73.0,-5.2,NaN,NaN,NaN,1016.9,50000.0,3.0,0.0,
1478275200000,Helsinki-Harmaja,2016-11-04 18:00:00,-0.7,3.5,4.4,344.0,73.0,-5.0,NaN,NaN,NaN,1017.1,46880.0,0.0,0.0,
1478282400000,Helsinki-Harmaja,2016-11-04 20:00:00,-1.1,4.5,5.6,357.0,86.0,-3.1,NaN,NaN,NaN,1017.7,41490.0,0.0,0.0,
1478289600000,Helsinki-Harmaja,2016-11-04 22:00:00,-1.7,3.5,5.0,9.0,88.0,-3.4,NaN,NaN,NaN,1018.0,42470.0,7.0,0.0,
1478296800000,Helsinki-Harmaja,2016-11-05 00:00:00,-1.3,4.6,5.8,2.0,85.0,-3.4,NaN,NaN,NaN,1018.4,50000.0,7.0,0.0,
1478304000000,Helsinki-Harmaja,2016-11-05 02:00:00,-1.8,4.6,5.7,350.0,90.0,-3.2,NaN,NaN,NaN,1018.4,30870.0,8.0,0.0,
1478311200000,Helsinki-Harmaja,2016-11-05 04:00:00,-1.9,2.8,4.0,356.0,90.0,-3.3,NaN,NaN,NaN,1018.5,35840.0,8.0,0.0,
1478318400000,Helsinki-Harmaja,2016-11-05 06:00:00,-2.1,4.0,5.0,19.0,87.0,-4.1,NaN,NaN,NaN,1018.5,37390.0,8.0,0.0,
1478325600000,Helsinki-Harmaja,2016-11-05 08:00:00,-2.3,3.0,4.3,35.0,90.0,-3.7,NaN,NaN,NaN,1019.2,19090.0,7.0,64.0,
1478332800000,Helsinki-Harmaja,2016-11-05 10:00:00,-1.8,3.3,4.8,28.0,85.0,-4.0,NaN,NaN,NaN,1019.4,32870.0,7.0,25.0,
1478340000000,Helsinki-Harmaja,2016-11-05 12:00:00,-1.7,2.6,4.7,35.0,77.0,-5.2,NaN,NaN,NaN,1019.2,44890.0,5.0,0.0,
1478347200000,Helsinki-Harmaja,2016-11-05 14:00:00,-2.2,4.9,6.6,28.0,79.0,-5.3,NaN,NaN,NaN,1019.4,44420.0,5.0,0.0,
1478354400000,Helsinki-Harmaja,2016-11-05 16:00:00,-2.5,4.2,6.3,30.0,73.0,-6.7,NaN,NaN,NaN,1019.3,50000.0,8.0,0.0,
1478361600000,Helsinki-Harmaja,2016-11-05 18:00:00,-2.8,5.3,6.6,32.0,76.0,-6.5,NaN,NaN,NaN,1019.2,50000.0,7.0,0.0,
1478368800000,Helsinki-Harmaja,2016-11-05 20:00:00,-3.4,5.4,6.8,28.0,87.0,-5.3,NaN,NaN,NaN,1018.9,37880.0,7.0,21.0,
1478376000000,Helsinki-Harmaja,2016-11-05 22:00:00,-3.4,5.7,7.7,38.0,87.0,-5.2,NaN,NaN,NaN,1018.5,34260.0,8.0,64.0,
1478383200000,Helsinki-Harmaja,2016-11-06 00:00:00,-2.4,6.9,8.8,44.0,83.0,-4.9,NaN,NaN,NaN,1017.8,22630.0,8.0,64.0,
1478390400000,Helsinki-Harmaja,2016-11-06 02:00:00,-2.2,7.0,9.4,46.0,87.0,-4.0,NaN,NaN,NaN,1017.2,33490.0,7.0,54.0,
1478397600000,Helsinki-Harmaja,2016-11-06 04:00:00,-2.7,7.0,9.8,40.0,84.0,-5.0,NaN,NaN,NaN,1016.7,27420.0,6.0,0.0,
