ID,NAME,LAT,LONG
101,Vironniemi (Estnäs),60.1703,24.9568
102,Ullanlinna (Ulrikasborg),60.15841,24.94904
103,Kampinmalmi (Kampmalmen),60.1571993712,24.9083963664
104,Taka-Töölö (Bortre Tölö),60.18164,24.91812
105,Lauttasaari (Lauttasaari),60.15733,24.87725
201,Reijola (Grejus),62.54306,29.84068
202,Munkkiniemi (Munksnäs),60.19827,24.87599
203,Haaga (Haga),60.22186,24.89619
204,Pitäjänmäki (Sockenbacka),60.22298,24.86206
205,Kaarela(Kårböle),60.25123,24.88134
301,Kallio (Berghäll),60.18429,24.94927
302,Alppiharju(Åshöjden),60.188327,24.953095
303,Vallila (Vallgård),60.19444,24.95702
304,Pasila (Böle),60.19898,24.93285
305,Vanhakaupunki (Gammelstaden),60.21616,24.97881
401,Maunula (Månsas),60.22980,24.93058
402,Länsi-Pakila(Västra Baggböle),60.24113,24.92712
403,Tuomarinkylä(Domarby),60.25637,24.96682
404,Oulunkylä (Åggelby),60.22908,24.96342
405,Itä-Pakila (Östra Baggböle),60.24352,24.95883
501,Latokartano (Ladugården),60.22756,25.02753
502,Pukinmäki(Bocksbacka),60.24496,24.98904
503,Malmi (Malm),60.25102,25.01056
504,Suutarila (Skomakarböle),60.28092,25.01095
505,Puistola (Parkstad),60.27136,25.04522
506,Jakomäki (Jakobacka),60.26013,25.07802
601,Kulosaari (Brändö),60.18662,25.00897
602,Herttoniemi (Hertonäs),60.19473,25.03262
603,Laajasalo (Degerö) 60.17197,25.04326
701,Vartiokylä (Botby) 60.21723,25.09558
702,Myllypuro (Kvarnbäcken),60.22359,25.06776
703,Mellunkylä (Mellungsby),60.23363,25.10208
704,Vuosaari (Nordsjö),60.20879,25.14373
801,Östersundom,60.25140,25.17374
