District,Data point count,Optimal number of trees, Accuracy
('Vironniemi (Estn\xc3\xa4s)', 435, 100, 0.88636363636363635)
('Ullanlinna (Ulrikasborg)', 310, 200, 0.77419354838709675)
('Kampinmalmi (Kampmalmen)', 262, 100, 0.81481481481481477)
('Taka-T\xc3\xb6\xc3\xb6l\xc3\xb6 (Bortre T\xc3\xb6l\xc3\xb6)', 778, 100, 0.82051282051282048)
('Lauttasaari (Lauttasaari)', 169, 100, 0.88235294117647056)
('Reijola (Grejus)', 6, 100, 1.0)
('Munkkiniemi (Munksn\xc3\xa4s)', 737, 100, 0.72972972972972971)
('Haaga (Haga)', 1236, 100, 0.77419354838709675)
('Pit\xc3\xa4j\xc3\xa4nm\xc3\xa4ki (Sockenbacka)', 543, 200, 0.63636363636363635)
('Kaarela(K\xc3\xa5rb\xc3\xb6le)', 1361, 600, 0.59854014598540151)
('Kallio (Bergh\xc3\xa4ll)', 357, 100, 0.69444444444444442)
('Alppiharju(\xc3\x85sh\xc3\xb6jden)', 409, 100, 0.78048780487804881)
('Vallila (Vallg\xc3\xa5rd)', 321, 100, 0.81818181818181823)
('Pasila (B\xc3\xb6le)', 646, 600, 0.72307692307692306)
('Vanhakaupunki (Gammelstaden)', 226, 200, 0.56521739130434778)
('Maunula (M\xc3\xa5nsas)', 364, 100, 0.67567567567567566)
('L\xc3\xa4nsi-Pakila(V\xc3\xa4stra Baggb\xc3\xb6le)', 761, 100, 0.88311688311688308)
('Tuomarinkyl\xc3\xa4(Domarby)', 285, 100, 0.86206896551724133)
('Oulunkyl\xc3\xa4 (\xc3\x85ggelby)', 129, 100, 0.46153846153846156)
('It\xc3\xa4-Pakila (\xc3\x96stra Baggb\xc3\xb6le)', 525, 100, 0.90566037735849059)
('Latokartano (Ladug\xc3\xa5rden)', 213, 100, 0.90909090909090906)
('Pukinm\xc3\xa4ki(Bocksbacka)', 243, 100, 0.76000000000000001)
('Malmi (Malm)', 203, 100, 0.76190476190476186)
('Suutarila (Skomakarb\xc3\xb6le)', 271, 200, 0.6428571428571429)
('Puistola (Parkstad)', 99, 200, 0.59999999999999998)
('Jakom\xc3\xa4ki (Jakobacka)', 127, 100, 0.61538461538461542)
('Kulosaari (Br\xc3\xa4nd\xc3\xb6)', 156, 100, 0.875)
('Herttoniemi (Herton\xc3\xa4s)', 153, 100, 0.875)
('Laajasalo (Deger\xc3\xb6) 60.17197', 23, 100, 0.66666666666666663)
('Vartiokyl\xc3\xa4 (Botby) 60.21723', 121, 100, 0.69230769230769229)
('Myllypuro (Kvarnb\xc3\xa4cken)', 148, 100, 0.8666666666666667)
('Mellunkyl\xc3\xa4 (Mellungsby)', 38, 100, 0.5)
('Vuosaari (Nordsj\xc3\xb6)', 43, 300, 0.80000000000000004)
('\xc3\x96stersundom', 39, 100, 0.75)
