SubAreaId,timestamp,airTemperature,surfaceTemperature,waterThickness,friction
201,11/18/2016 4:00,2.274143302,-0.088660436,0.150501558,0.415514019
201,11/18/2016 6:00,0.841148325,0.336315789,0.154157895,0.405550239
204,11/11/2016 8:00,-1.281395349,-3.981976744,0.140360465,0.389883721
204,11/11/2016 8:00,-1.672164948,-4.279639175,0.208561856,0.32
204,11/11/2016 10:00,-2.047126437,-4.127701149,0.115344828,0.39
203,11/11/2016 10:00,-3.682700422,-4.763122363,0.005879044,0.334556962
401,11/11/2016 0:00,-4.124313725,-5.447333333,0,0.40154902
401,11/11/2016 10:00,-4.1,-4.992889734,0.285144487,0.282015209
204,11/11/2016 10:00,-3.203539823,-4.320210177,0.098869469,0.391272124
402,11/11/2016 0:00,-4.1,-4.2452,0,0.3216
402,11/11/2016 10:00,-4.133719008,-5.030099174,0,0.417454545
304,11/11/2016 10:00,-4.31352381,-5.168177778,0.074265397,0.33224127
404,11/11/2016 0:00,-4.336775819,-5.89906801,0,0.40929471
404,11/11/2016 10:00,-3.992537313,-4.992794362,0.124880597,0.334809287
405,11/11/2016 10:00,-4.10678392,-5.907047739,0,0.392713568
101,11/29/2016 0:00,-3.477207392,-7.077351129,0.052938398,0.614558522
101,11/29/2016 2:00,-3.37962963,-3.985555556,0.083148148,0.716296296
301,11/29/2016 0:00,-3.667,-6.639,0.1188725,0.592375
103,11/29/2016 2:00,-3.181196581,-6.488632479,0.043307692,0.646837607
202,11/29/2016 2:00,-3.213207547,-6.398920755,0.052683019,0.385743396
302,11/29/2016 0:00,-3.009448819,-6.705564304,0.035412073,0.504383202
104,11/29/2016 0:00,-3.617456359,-6.468054863,0.082740648,0.633541147
104,11/29/2016 2:00,-3.012888552,-5.955898408,0.068376801,0.522691433
303,11/29/2016 0:00,-2.977339901,-6.137520525,0.048101806,0.602134647
601,11/29/2016 0:00,-3.264136414,-6.760869087,0.059375138,0.444708471
304,11/29/2016 0:00,-3.317973231,-6.701998088,0.093112811,0.531701721
701,11/29/2016 0:00,-3.11266055,-5.993614679,0.006255046,0.596899083
701,11/29/2016 10:00,-2.606578947,-7.099342105,0.001815789,0.574572368
602,11/29/2016 0:00,-3.457704918,-6.837639344,0.008453552,0.67757377
702,11/29/2016 0:00,-3.163546798,-6.085270936,0.003123153,0.611527094
205,11/3/2016 6:00,9.588477366,1.286460905,0.112020576,0.412942387
205,11/3/2016 6:00,3.690322581,2.050645161,0.104,0.547741935
202,11/3/2016 6:00,0.232682927,1.819926829,0.17842439,0.515756098
103,11/3/2016 6:00,-0.094915254,1.576440678,0.255476998,0.475472155
203,11/3/2016 6:00,0.130580357,1.923638393,0.172060268,0.398459821
104,11/3/2016 6:00,0.04271028,1.657803738,0.351078505,0.513439252
402,11/3/2016 6:00,0.091666667,2.119166667,0.252833333,0.3325
205,11/3/2016 6:00,0.75962406,1.961045113,0.216992481,0.375503759
101,11/3/2016 8:00,-0.028482587,1.825136816,0.236916667,0.313594527
102,11/3/2016 8:00,0.010909091,1.928969697,0.26789697,0.371151515
202,11/3/2016 8:00,3.393006993,1.841188811,0.220783217,0.367272727
301,11/3/2016 8:00,-0.22,1.9936,0.12053,0.5353
203,11/3/2016 8:00,6.070454545,1.974943182,0.119977273,0.419602273
104,11/3/2016 8:00,0.686855241,1.870898502,0.179302829,0.47515807
302,11/3/2016 8:00,-0.1,2.010666667,0.153773333,0.370533333
401,11/3/2016 8:00,0.025263158,1.623473684,0.1146,0.391789474
402,11/3/2016 8:00,8.06,2.633,0.1261,0.536
303,11/3/2016 8:00,0.028571429,1.935285714,0.145871429,0.462357143
205,11/3/2016 8:00,12.37323944,4.745211268,0.494385915,0.551042254
304,11/3/2016 8:00,0.1,1.925535714,0.176136905,0.473988095
403,11/3/2016 8:00,0.1,1.459791667,0.09771875,0.536145833
405,11/3/2016 8:00,0.048611111,1.663194444,0.126305556,0.509722222
504,11/3/2016 8:00,-0.064402174,1.3475,0.209108696,0.354755435
504,11/3/2016 10:00,-1.261302682,1.185999361,0,0.309345466
101,11/3/2016 0:00,0.086259542,1.79370229,0.383316794,0.364541985
301,11/3/2016 0:00,-0.473747495,1.769418838,0.868430862,0.397715431
203,11/3/2016 0:00,-0.916025641,1.313525641,0.111173077,0.375576923
203,11/3/2016 10:00,-0.564473684,1.761644737,0.009335526,0.322565789
302,11/3/2016 0:00,-0.911734694,1.459183673,0.273540816,0.336785714
104,11/3/2016 0:00,-0.927312953,1.421134352,0.403566372,0.312654867
402,11/3/2016 0:00,-0.773076923,1.465961538,0.083067308,0.600673077
501,11/3/2016 0:00,-0.337837838,1.442567568,0.104040541,0.528513514
205,11/3/2016 0:00,-0.959139785,1.088602151,0,0.327956989
205,11/3/2016 10:00,-0.630517241,1.414396552,0.207074138,0.421103448
502,11/3/2016 0:00,-0.445238095,1.545357143,0.130595238,0.696547619
601,11/3/2016 0:00,-1.1,0.9875,0.107922414,0.41
503,11/3/2016 0:00,-0.4,1.571730769,0.175865385,0.662692308
701,11/3/2016 0:00,-0.368619247,1.397552301,0.218410042,0.326380753
602,11/3/2016 0:00,-0.702761341,1.433747535,0.348698225,0.365266272
504,11/3/2016 10:00,-0.725984252,1.377611549,0.253698163,0.352099738
405,11/3/2016 0:00,-0.547368421,1.481052632,0.101921053,0.636578947
702,11/3/2016 0:00,-0.373584906,1.428301887,0.143622642,0.426352201
704,11/3/2016 0:00,-0.328932039,1.597941748,0.076254369,0.327009709
301,11/3/2016 2:00,-0.794505495,1.256122449,0.286345369,0.241161695
202,11/3/2016 4:00,-0.69796334,0.649918534,0.235775967,0.354399185
202,11/3/2016 6:00,-0.722389666,0.501184069,0.144496233,0.328912809
104,11/3/2016 2:00,-0.855991041,1.249832027,0.441444009,0.475151176
302,11/3/2016 2:00,-0.828735632,0.983678161,0.180701149,0.468735632
401,11/3/2016 2:00,-0.541573034,0.462022472,0.192876404,0.516516854
203,11/3/2016 2:00,-0.640909091,0.553818182,0.116145455,0.618454545
203,11/3/2016 4:00,-0.633728814,0.621338983,0.183679661,0.543271186
203,11/3/2016 6:00,-0.1,0.932698413,0.135539683,0.690634921
402,11/3/2016 2:00,-0.7,0.665,0.1488,0.61
402,11/3/2016 4:00,-1.133101045,0.511358885,0.142965157,0.552752613
402,11/3/2016 6:00,0.423566879,1.113343949,0.140636943,0.598471338
204,11/3/2016 4:00,-0.843154762,0.322127976,0.186718006,0.494032738
204,11/3/2016 6:00,-0.306802721,0.687414966,0.11594898,0.585102041
303,11/3/2016 4:00,-0.849740933,0.591243523,0.241212435,0.394196891
105,11/3/2016 4:00,-0.652920962,0.355154639,0.305484536,0.282611684
304,11/3/2016 2:00,-0.611764706,0.737598039,0.175857843,0.472352941
304,11/3/2016 4:00,-0.670777027,0.414577703,0.185858108,0.471976351
205,11/3/2016 2:00,-1.085017668,0.822438163,0.323368198,0.270621908
205,11/3/2016 4:00,-1.439195402,0.656626437,0.272717816,0.32616092
205,11/3/2016 6:00,0.076537217,1.103656958,0.350079288,0.280517799
403,11/3/2016 4:00,-0.968947368,0.591210526,0.095315789,0.631210526
403,11/3/2016 6:00,0.516216216,1.334324324,0.171911197,0.663783784
405,11/3/2016 4:00,-1.003883495,0.483495146,0.110048544,0.647669903
405,11/3/2016 6:00,0.320192308,1.143365385,0.159971154,0.695480769
504,11/3/2016 4:00,-0.716719243,0.219826498,0.21544164,0.569652997
504,11/3/2016 6:00,0.684342688,1.234446086,0.177450517,0.55323486
202,11/3/2016 8:00,0.154785479,1.437524752,0.167089109,0.703432343
203,11/3/2016 6:00,-0.856455142,0.963435449,0.377525164,0.307972283
203,11/3/2016 8:00,-0.00333025,1.259454209,0.206278446,0.636197965
401,11/3/2016 8:00,0.034843907,1.131762336,0.197242699,0.326072508
104,11/3/2016 8:00,0.145454545,2.850422078,0.235292208,0.566136364
104,11/3/2016 10:00,-0.037709497,1.398603352,0.512980447,0.275223464
204,11/3/2016 8:00,0.693389906,1.768048236,0.192053595,0.398825368
402,11/3/2016 8:00,0.333571429,1.507785714,0.126885714,0.600928571
205,11/3/2016 6:00,-0.727942064,0.905618588,0.01201207,0.357929994
205,11/3/2016 8:00,0.29339207,1.394933921,0.240993392,0.389537445
