timestamp,zoneId,date,airTemperature,windSpeed,gustSpeed,windDirection,relativeHumidity,dewPointTemperature,precipation,precipationDensity,snowDepth,airPressure,visibility,cloudAmount,presentWeather
1477951200000,Helsinki-Vuosaari,2016-11-01 00:00:00,-0.1,1.7,2.2,62.0,95.0,-0.8,NaN,NaN,NaN,1023.0,NaN,NaN,NaN,
1477958400000,Helsinki-Vuosaari,2016-11-01 02:00:00,0.3,2.2,2.6,39.0,94.0,-0.6,NaN,NaN,NaN,1022.3,NaN,NaN,NaN,
1477965600000,Helsinki-Vuosaari,2016-11-01 04:00:00,0.5,2.2,2.8,7.0,96.0,-0.1,NaN,NaN,NaN,1021.5,NaN,NaN,NaN,
1477972800000,Helsinki-Vuosaari,2016-11-01 06:00:00,1.6,1.4,2.5,43.0,96.0,1.0,NaN,NaN,NaN,1020.7,NaN,NaN,NaN,
1477980000000,Helsinki-Vuosaari,2016-11-01 08:00:00,2.1,2.0,2.7,59.0,96.0,1.5,NaN,NaN,NaN,1020.1,NaN,NaN,NaN,
1477987200000,Helsinki-Vuosaari,2016-11-01 10:00:00,2.3,1.5,2.5,48.0,96.0,1.7,NaN,NaN,NaN,1018.8,NaN,NaN,NaN,
1477994400000,Helsinki-Vuosaari,2016-11-01 12:00:00,4.5,4.7,6.3,154.0,72.0,0.0,NaN,NaN,NaN,1017.5,NaN,NaN,NaN,
1478001600000,Helsinki-Vuosaari,2016-11-01 14:00:00,3.7,5.7,7.2,162.0,77.0,-0.1,NaN,NaN,NaN,1016.2,NaN,NaN,NaN,
1478008800000,Helsinki-Vuosaari,2016-11-01 16:00:00,3.1,8.2,10.5,159.0,72.0,-1.4,NaN,NaN,NaN,1014.8,NaN,NaN,NaN,
1478016000000,Helsinki-Vuosaari,2016-11-01 18:00:00,2.4,9.1,12.2,148.0,65.0,-3.5,NaN,NaN,NaN,1013.7,NaN,NaN,NaN,
1478023200000,Helsinki-Vuosaari,2016-11-01 20:00:00,2.2,9.4,13.7,134.0,66.0,-3.6,NaN,NaN,NaN,1012.2,NaN,NaN,NaN,
1478030400000,Helsinki-Vuosaari,2016-11-01 22:00:00,1.9,9.5,14.4,135.0,66.0,-3.7,NaN,NaN,NaN,1010.7,NaN,NaN,NaN,
1478037600000,Helsinki-Vuosaari,2016-11-02 00:00:00,2.0,9.1,14.5,135.0,68.0,-3.4,NaN,NaN,NaN,1009.3,NaN,NaN,NaN,
1478044800000,Helsinki-Vuosaari,2016-11-02 02:00:00,2.5,13.0,16.5,117.0,71.0,-2.2,NaN,NaN,NaN,1007.4,NaN,NaN,NaN,
1478052000000,Helsinki-Vuosaari,2016-11-02 04:00:00,2.4,15.3,18.1,106.0,81.0,-0.5,NaN,NaN,NaN,1006.2,NaN,NaN,NaN,
1478059200000,Helsinki-Vuosaari,2016-11-02 06:00:00,2.3,13.2,17.1,92.0,70.0,-2.5,NaN,NaN,NaN,1005.5,NaN,NaN,NaN,
1478066400000,Helsinki-Vuosaari,2016-11-02 08:00:00,1.9,11.2,16.9,91.0,69.0,-3.1,NaN,NaN,NaN,1005.0,NaN,NaN,NaN,
1478073600000,Helsinki-Vuosaari,2016-11-02 10:00:00,0.5,7.6,9.7,65.0,95.0,-0.2,NaN,NaN,NaN,1004.9,NaN,NaN,NaN,
1478080800000,Helsinki-Vuosaari,2016-11-02 12:00:00,0.7,7.5,11.2,49.0,96.0,0.1,NaN,NaN,NaN,1004.5,NaN,NaN,NaN,
1478088000000,Helsinki-Vuosaari,2016-11-02 14:00:00,-0.7,10.0,12.9,44.0,96.0,-1.3,NaN,NaN,NaN,1004.9,NaN,NaN,NaN,
1478095200000,Helsinki-Vuosaari,2016-11-02 16:00:00,-1.4,9.0,12.3,42.0,96.0,-2.0,NaN,NaN,NaN,1005.2,NaN,NaN,NaN,
1478102400000,Helsinki-Vuosaari,2016-11-02 18:00:00,-1.2,9.5,13.2,41.0,95.0,-1.8,NaN,NaN,NaN,1005.5,NaN,NaN,NaN,
